Date;Machine;Bird ID;Mass Tissue;OB Chamber;Baseline;Oligo;CCCP;AA;Routine;OxPhos;Leak;ETS;FCR1;FCR2;FCR3;Routine/mg;OxPhops/mg;Leak/mg;ETS/mg;AA/mg;Batch 
30.05.23;P2;C4A1055;14,59;A;23,1183;17,6634;25,2829;5,2817;17,8366;5,4549;12,3817;20,0012;0,694173778;0,619047857;0,891776493;1,222522276;0,373879369;0,848642906;1,370884167;0,362008225;2
30.05.23;P2;C4A1057;17,51;B;33,9791;25,0586;40,3452;7,623;26,3561;8,9205;17,4356;32,7222;0,661539454;0,532837034;0,805450123;1,505202741;0,509451742;0,995750999;1,86877213;0,435351228;2
30.05.23;P1;C4A1058;8,79;A;18,0963;15,9317;21,3;4,9354;13,1609;2,1646;10,9963;16,3646;0,835527965;0,67195654;0,804229862;1,497258248;0,24625711;1,251001138;1,861729238;0,561478953;2
30.05.23;P1;C4A1059;15,883;B;31,5463;22,0581;42,2509;7,0553;24,491;9,4882;15,0028;35,1956;0,612584215;0,426269193;0,695854027;1,541963105;0,597380847;0,944582258;2,215928981;0,444204495;2
01.06.23;P2;C4A1072;18,24;A;25,0232;20,6073;32,0366;4,589;20,4342;4,4159;16,0183;27,4476;0,783896605;0,583595651;0,744480392;1,120296053;0,242099781;0,878196272;1,504802632;0,251589912;2
01.06.23;P2;C4A1074;12,596;B;19,3819;14,0296;24,6937;5,2712;14,1107;5,3523;8,7584;19,4225;0,620692099;0,450940919;0,726513065;1,120252461;0,42492061;0,695331851;1,541957764;0,418482058;2
01.06.23;P1;C4A1075;5,4;A;10,4768;10,2171;16,0183;3,55;6,9268;0,2597;6,6671;12,4683;0,96250794;0,53472406;0,555552882;1,282740741;0,048092593;1,234648148;2,308944444;0,657407407;2
01.06.23;P1;C4A1076;15,155;B;22,7068;18,8548;31,7085;5,7578;16,949;3,852;13,097;25,9507;0,772729955;0,504687735;0,653123037;1,118376773;0,25417354;0,864203233;1,712352359;0,379927417;2
01.06.23;P2;C4A1080;9,06;A;15,672;13,6805;17,0573;4,9354;10,7366;1,9915;8,7451;12,1219;0,814512974;0,721429809;0,885719235;#REF!;#REF!;#REF!;#REF!;#REF!;2
01.06.23;P2;C4A1082;10,04;B;17,4356;13,8674;20,355;4,5819;12,8537;3,5682;9,2855;15,7731;0,722398998;0,58869214;0,814912731;#REF!;#REF!;#REF!;#REF!;#REF!;2
01.06.23;P1;C4A1086;11,2;A;32,8159;15,8018;26,4085;5,3683;27,4476;17,0141;10,4335;21,0402;0,38012431;0,49588407;1,304531326;#REF!;#REF!;#REF!;#REF!;#REF!;2
01.06.23;P1;C4A1090;14,9;B;30,6542;22,7879;45,5353;7,0553;23,5989;7,8663;15,7326;38,48;0,666666667;0,408851351;0,613277027;#REF!;#REF!;#REF!;#REF!;#REF!;2
05.06.23;P2;C4A1938;7,89;A;14,4598;12,6415;19,4817;4,1561;10,3037;1,8183;8,4854;15,3256;0,823529412;0,553674897;0,672319518;1,305918885;0,230456274;1,075462611;1,942408112;0,526755387;2
05.06.23;P2;C4A1939;11,27;B;27,8159;23,5989;32,2761;5,474;22,3419;4,217;18,1249;26,8021;0,811251505;0,676249249;0,833587667;1,98242236;0,374179237;1,608243123;2,378181012;0,485714286;2
05.06.23;P1;C4A1944;22,62;A;31,6902;22,0793;41,0415;7,836;23,8542;9,6109;14,2433;33,2055;0,597098205;0,428944;0,718380991;1,054562334;0,424885057;0,629677277;1,467970822;0,346419098;2
05.06.23;P1;C4A1940;10,52;B;14,6783;12,3671;19,5441;4,3792;10,2991;2,3112;7,9879;15,1649;0,775592042;0,526736081;0,679140647;0,979001901;0,219695817;0,759306084;1,441530418;0,416273764;2
05.06.23;P2;C4A1946;10,12;A;16,278;13,0744;20,9537;5,1951;11,0829;3,2036;7,8793;15,7586;0,710942082;0,5;0,703292171;1,095148221;0,316561265;0,778586957;1,557173913;#REF!;2
05.06.23;P2;C4A1947;9,01;B;11,5156;11,1101;14,2729;4,0548;7,4608;0,4055;7,0553;10,2181;0,94564926;0,690470831;0,730155313;0,828057714;0,045005549;0,783052164;1,134084351;0,450033296;2
05.06.23;P1;C4A1948;15,3;A;21,2134;17,1439;25,5427;5,8012;15,4122;4,0695;11,3427;19,7415;0,735955931;0,574561204;0,780700555;1,007333333;0,265980392;0,741352941;1,290294118;0,379163399;2
05.06.23;P1;C4A1949;8,93;B;18,0033;17,5167;22,7474;4,8252;13,1781;0,4866;12,6915;17,9222;0,963075102;0,708144089;0,735294774;1,475711086;0,054490482;1,421220605;2,006965286;0,540335946;2
05.06.23;P1;C4A1951;7,26;A;23,1183;17,6634;35,7598;4,1561;18,9622;5,4549;13,5073;31,6037;0,712327683;0,427396159;0,599999367;2,611873278;0,751363636;1,860509642;4,353126722;0,572465565;2
05.06.23;P1;C4A1952;9,92;B;33,0871;23,7611;64,4712;6,6499;26,4372;9,326;17,1112;57,8213;0,647239496;0,295932468;0,457222511;2,665040323;0,940120968;1,724919355;5,828760081;0,670352823;2
08.06.23;P1;C4A1094;12,84;A;18,6574;17,3373;24,2898;6,3365;12,3209;1,3201;11,0008;17,9533;0,892856853;0,612745289;0,686274947;0,959571651;0,102811526;0,856760125;1,398232087;0,493496885;2
11.06.23;P2;C4A1955;8,12;A;15,9292;15,1371;19,8015;4,5323;11,3969;0,7921;10,6048;15,2692;0,930498644;0,694522306;0,746397978;1,403559113;0,097549261;1,306009852;1,88044335;0,558165025;2
11.06.23;P1;C4A1957;4,12;A;14,4331;14,4331;17,7333;4,2243;10,2088;0;10,2088;13,509;1;0,755703605;0,755703605;2,477864078;0;2,477864078;3,278883495;1,025315534;2
11.06.23;P1;C4A1958;12,41;B;28,2874;25,6712;33,765;5,9682;22,3192;2,6162;19,703;27,7968;0,882782537;0,708822598;0,802941346;1,798485093;0,21081386;1,587671233;2,239871072;0,480918614;2
15.06.23;P2;C4A1963;9,35;A;18,4343;16,8691;23,9124;4,1738;14,2605;1,5652;12,6953;19,7386;0,890242278;0,643171248;0,722467652;1,525187166;0,16740107;1,357786096;2,111080214;0,446395722;2
15.06.23;P2;C4A1965;14,89;B;28,3753;20,1026;39,502;6,2045;22,1708;8,2727;13,8981;33,2975;0,626865066;0,417391696;0,665839778;1,488972465;0,555587643;0,933384822;2,236232371;0,416689053;2
